Akazienholzboot,Acacia Boat,acacia_boat,%ID1%
Abgestorbener Orgelkorallenfächer,Dead Tube Coral Fan,dead_tube_coral_fan,%ID223%
Sensorschiene,Detector Rails,detector_rail,%ID224%
Diamant,Diamond,diamond,%ID225%
Diamantaxt,Diamond Axe,diamond_axe,%ID226%
Diamantblock,Block of Diamond,diamond_block,%ID227%
Diamantstiefel,Diamond Boots,diamond_boots,%ID228%
Diamantharnisch,Diamond Chestplate,diamond_chestplate,%ID229%
Diamanthelm,Diamond Helmet,diamond_helmet,%ID230%
Diamanthacke,Diamond Hoe,diamond_hoe,%ID231%
Diamantener Rossharnisch,Diamond Horse Armor,diamond_horse_armor,%ID232%
Diamantbeinschutz,Diamond Leggings,diamond_leggings,%ID233%
Diamanterz,Diamond Ore,diamond_ore,%ID234%
Diamantspitzhacke,Diamond Pickaxe,diamond_pickaxe,%ID235%
Diamantschaufel,Diamond Shovel,diamond_shovel,%ID236%
Diamantschwert,Diamond Sword,diamond_sword,%ID237%
Diorit,Diorite,diorite,%ID238%
Dioritstufe,Diorite Slab,diorite_slab,%ID239%
Diorittreppe,Diorite Stairs,diorite_stairs,%ID240%
Dioritmauer,Diorite Wall,diorite_wall,%ID241%
Erde,Dirt,dirt,%ID242%
Werfer,Dispenser,dispenser,%ID243%
Delfin-Spawn-Ei,Dolphin Spawn Egg,dolphin_spawn_egg,%ID244%
Esel-Spawn-Ei,Donkey Spawn Egg,donkey_spawn_egg,%ID245%
Drachenatem,Dragon's Breath,dragon_breath,%ID246%
Drachenei,Dragon Egg,dragon_egg,%ID247%
Drachenkopf,Dragon Head,dragon_head,%ID248%
Getrockneter Seetang,Dried Kelp,dried_kelp,%ID249%
Getrockneter Seetangblock,Dried Kelp Block,dried_kelp_block,%ID250%
Spender,Dropper,dropper,%ID251%
Ei,Egg,egg,%ID252%
Elytra,Elytra,elytra,%ID253%
Smaragd,Emerald,emerald,%ID254%
Smaragdblock,Block of Emerald,emerald_block,%ID255%
Smaragderz,Emerald Ore,emerald_ore,%ID256%
Verzauberter goldener Apfel,Enchanted Golden Apple,enchanted_golden_apple,%ID257%
Verzauberungstisch,Enchanting Table,enchanting_table,%ID258%
Enderkristall,End Crystal,end_crystal,%ID259%
Endstab,End Rod,end_rod,%ID260%
Endstein,End Stone,end_stone,%ID261%
Endsteinziegelstufe,End Stone Brick Slab,end_stone_brick_slab,%ID262%
Endsteinziegeltreppe,End Stone Brick Stairs,end_stone_brick_stairs,%ID263%
Endsteinziegelmauer,End Stone Brick Wall,end_stone_brick_wall,%ID264%
Endsteinziegel,End Stone Bricks,end_stone_bricks,%ID265%
Endertruhe,Ender Chest,ender_chest,%ID266%
Enderauge,Eye of Ender,ender_eye,%ID267%
Enderperle,Ender Pearl,ender_pearl,%ID268%
Erfahrungsfläschchen,Bottle o'Enchanting,experience_bottle,%ID269%
Feder,Feather,feather,%ID270%
Fermentiertes Spinnenauge,Fermented Spider Eye,fermented_spider_eye,%ID271%
Farn,Fern,fern,%ID272%
Feuerkugel,Fire Charge,fire_charge,%ID273%
Feuerkoralle,Fire Coral,fire_coral,%ID274%
Feuerkorallenblock,Fire Coral Block,fire_coral_block,%ID275%
Feuerkorallenfächer,Fire Coral Fan,fire_coral_fan,%ID276%
Feuerwerksrakete,Firework Rocket,firework_rocket,%ID277%
Feuerwerksstern,Firework Star,firework_star,%ID278%
Angel,Fishing Rod,fishing_rod,%ID279%
Bognertisch,Fletching Table,fletching_table,%ID280%
Feuerstein,Flint,flint,%ID281%
Feuerzeug,Flint and Steel,flint_and_steel,%ID282%
Blumentopf,Flower Pot,flower_pot,%ID283%
Fuchs-Spawn-Ei,Fox Spawn Egg,fox_spawn_egg,%ID284%
Ofen,Furnace,furnace,%ID285%
Ofenlore,Minecart with Furnace,furnace_minecart,%ID286%
Ghastträne,Ghast Tear,ghast_tear,%ID287%
Glas,Glass,glass,%ID288%
Glasflasche,Glass Bottle,glass_bottle,%ID289%
Glasscheibe,Glass Pane,glass_pane,%ID290%
Glowstone,Glowstone,glowstone,%ID292%
Glitzernde Melonenscheibe,Glistering Melon,glistering_melon_slice,%ID291%
Glowstonestaub,Glowstone Dust,glowstone_dust,%ID293%
Goldblock,Block of Gold,gold_block,%ID294%
Goldbarren,Gold Ingot,gold_ingot,%ID295%
Goldklumpen,Gold Nugget,gold_nugget,%ID296%
Golderz,Gold Ore,gold_ore,%ID297%
Goldener Apfel,Golden Apple,golden_apple,%ID298%
Goldaxt,Golden Axe,golden_axe,%ID299%
Goldstiefel,Golden Boots,golden_boots,%ID300%
Goldene Karotte,Golden Carrot,golden_carrot,%ID301%
Goldharnisch,Golden Chestplate,golden_chestplate,%ID302%
Goldhelm,Golden Helmet,golden_helmet,%ID303%
Goldhacke,Golden Hoe,golden_hoe,%ID304%
Goldener Rossharnisch,Gold Horse Armor,golden_horse_armor,%ID305%
Goldbeinschutz,Golden Leggings,golden_leggings,%ID306%
Goldspitzhacke,Golden Pickaxe,golden_pickaxe,%ID307%
Goldschaufel,Golden Shovel,golden_shovel,%ID308%
Goldschwert,Golden Sword,golden_sword,%ID309%
Granit,Granite,granite,%ID310%
Granitstufe,Granite Slab,granite_slab,%ID311%
Granittreppe,Granite Stairs,granite_stairs,%ID312%
Granitmauer,Granite Wall,granite_wall,%ID313%
Gras,Grass,grass,%ID314%
Grasblock,Grass Block,grass_block,%ID315%
Kies,Gravel,gravel,%ID317%
Grauer Banner,Gray Banner,gray_banner,%ID318%
Graues Bett,Gray Bed,gray_bed,%ID319%
Grauer Teppich,Gray Carpet,gray_carpet,%ID320%
Grauer Beton,Gray Concrete,gray_concrete,%ID321%
Grauer Trockenbeton,Gray Concrete Powder,gray_concrete_powder,%ID322%
Grauer Farbstoff,Gray Dye,gray_dye,%ID323%
Graue glasierte Keramik,Gray Glazed Terracotta,gray_glazed_terracotta,%ID324%
Graue Shulkerkiste,Gray Shulker Box,gray_shulker_box,%ID325%
Graues Glas,Gray Stained Glass,gray_stained_glass,%ID326%
Graue Glasscheibe,Gray Stained Glass Pane,gray_stained_glass_pane,%ID327%
Graue Keramik,Gray Terracotta,gray_terracotta,%ID328%
Graue Wolle,Gray Wool,gray_wool,%ID329%
Grüner Banner,Green Banner,green_banner,%ID330%
Grünes Bett,Green Bed,green_bed,%ID331%
Grüner Teppich,Green Carpet,green_carpet,%ID332%
Grüner Beton,Green Concrete,green_concrete,%ID333%
Grüner Trockenbeton,Green Concrete Powder,green_concrete_powder,%ID334%
Grüner Farbstoff,Green Dye,green_dye,%ID335%
Grüne glasierte Keramik,Green Glazed Terracotta,green_glazed_terracotta,%ID336%
Grüne Shulkerkiste,Green Shulker Box,green_shulker_box,%ID337%
Grünes Glas,Green Stained Glass,green_stained_glass,%ID338%
Grüne Glasscheibe,Green Stained Glass Pane,green_stained_glass_pane,%ID339%
Grüne Keramik,Green Terracotta,green_terracotta,%ID340%
Grüne Wolle,Green Wool,green_wool,%ID341%
Schleifstein,Grindstone,grindstone,%ID342%
Schwarzpulver,Gunpowder,gunpowder,%ID343%
Heuballen,Hay Bale,hay_block,%ID344%
Herz des Meeres,Heart of the Sea,heart_of_the_sea,%ID345%
Grobwägeplatte,Heavy Weighted Pressure Plate,heavy_weighted_pressure_plate,%ID346%
Trichter,Hopper,hopper,%ID347%
Trichterlore,Minecart with Hopper,hopper_minecart,%ID348%
Geweihkoralle,Horn Coral,horn_coral,%ID349%
Geweihkorallenblock,Horn Coral Block,horn_coral_block,%ID350%
Geweihkorallenfächer,Horn Coral Fan,horn_coral_fan,%ID351%
Pferde-Spawn-Ei,Horse Spawn Egg,horse_spawn_egg,%ID352%
Eis,Ice,ice,%ID353%
Tintenbeutel,Ink Sac,ink_sac,%ID354%
Eisenaxt,Iron Axe,iron_axe,%ID355%
Eisengitter,Iron Bars,iron_bars,%ID356%
Eisenblock,Block of Iron,iron_block,%ID357%
Eisenstiefel,Iron Boots,iron_boots,%ID358%
Eisenharnisch,Iron Chestplate,iron_chestplate,%ID359%
Eisentür,Iron Door,iron_door,%ID360%
Eisenhelm,Iron Helmet,iron_helmet,%ID361%
Eisenhacke,Iron Hoe,iron_hoe,%ID362%
Eiserner Rossharnisch,Iron Horse Armor,iron_horse_armor,%ID363%
Eisenbarren,Iron Ingot,iron_ingot,%ID364%
Eisenbeinschutz,Iron Leggings,iron_leggings,%ID365%
Eisenklumpen,Iron Nugget,iron_nugget,%ID366%
Eisenerz,Iron Ore,iron_ore,%ID367%
Eisenspitzhacke,Iron Pickaxe,iron_pickaxe,%ID368%
Eisenschaufel,Iron Shovel,iron_shovel,%ID369%
Eisenschwert,Iron Sword,iron_sword,%ID370%
Eisenfalltür,Iron Trapdoor,iron_trapdoor,%ID371%
Bilderrahmen,Item Frame,item_frame,%ID372%
Kürbislaterne,Jack o'Lantern,jack_o_lantern,%ID373%
Plattenspieler,Jukebox,jukebox,%ID374%
Tropenholzboot,Jungle Boat,jungle_boat,%ID375%
Tropenholzknopf,Jungle Button,jungle_button,%ID376%
Tropenholztür,Jungle Door,jungle_door,%ID377%
Tropenholzzaun,Jungle Fence,jungle_fence,%ID378%
Tropenholzzauntür,Jungle Fence Gate,jungle_fence_gate,%ID379%
Tropenbaumlaub,Jungle Leaves,jungle_leaves,%ID380%
Tropenbaumstamm,Jungle Log,jungle_log,%ID381%
Tropenholzbretter,Jungle Wood Plank,jungle_planks,%ID382%
Tropenholzdruckplatte,Jungle Pressure Plate,jungle_pressure_plate,%ID383%
Tropenbaumsetzling,Jungle Sapling,jungle_sapling,%ID384%
Tropenholzschild,Jungle Sign,jungle_sign,%ID385%
Tropenholzstufe,Jungle Wood Slab,jungle_slab,%ID386%
Tropenholztreppe,Jungle Wood Stairs,jungle_stairs,%ID387%
Tropenholzfalltür,Jungle Trapdoor,jungle_trapdoor,%ID388%
Tropenholz,Jungle Wood,jungle_wood,%ID389%
Seetang,Kelp,kelp,%ID390%
Leiter,Ladder,ladder,%ID391%
Laterne,Lantern,lantern,%ID392%
Lapislazuliblock,Lapis Lazuli Block,lapis_block,%ID393%
Großer Farn,Large Fern,large_fern,%ID396%
Lavaeimer,Lava Bucket,lava_bucket,%ID397%
Leine,Lead,lead,%ID398%
Leder,Leather,leather,%ID399%
Lederstiefel,Leather Boots,leather_boots,%ID400%
Lederjacke,Leather Tunic,leather_chestplate,%ID401%
Lederkappe,Leather Cap,leather_helmet,%ID402%
Lederner Rossharnisch,Leather Horse Armor,leather_horse_armor,%ID403%
Lederhose,Leather Pants,leather_leggings,%ID404%
Lesepult,Lectern,lectern,%ID405%
Hebel,Lever,lever,%ID406%
Hellblauer Banner,Light Blue Banner,light_blue_banner,%ID407%
Hellblaues Bett,Light Blue Bed,light_blue_bed,%ID408%
Hellblauer Teppich,Light Blue Carpet,light_blue_carpet,%ID409%
Hellblauer Beton,Light Blue Concrete,light_blue_concrete,%ID410%
Hellblauer Trockenbeton,Light Blue Concrete Powder,light_blue_concrete_powder,%ID411%
Hellblauer Farbstoff,Light Blue Dye,light_blue_dye,%ID412%
Hellblaue glasierte Keramik,Light Blue Glazed Terracotta,light_blue_glazed_terracotta,%ID413%
Hellblaue Shulkerkiste,Light Blue Shulker Box,light_blue_shulker_box,%ID414%
Hellblaues Glas,Light Blue Stained Glass,light_blue_stained_glass,%ID415%
Hellblaue Glasscheibe,Light Blue Stained Glass Pane,light_blue_stained_glass_pane,%ID416%
Hellblaue Keramik,Light Blue Terracotta,light_blue_terracotta,%ID417%
Hellblaue Wolle,Light Blue Wool,light_blue_wool,%ID418%
Hellgrauer Banner,Light Gray Banner,light_gray_banner,%ID419%
Hellgraues Bett,Light Gray Bed,light_gray_bed,%ID420%
Hellgrauer Teppich,Light Gray Carpet,light_gray_carpet,%ID421%
Hellgrauer Beton,Light Gray Concrete,light_gray_concrete,%ID422%
Hellgrauer Trockenbeton,Light Gray Concrete Powder,light_gray_concrete_powder,%ID423%
Hellgrauer Farbstoff,Light Gray Dye,light_gray_dye,%ID424%
Hellgraue glasierte Keramik,Light Gray Glazed Terracotta,light_gray_glazed_terracotta,%ID425%
Hellgraue Shulkerkiste,Light Gray Shulker Box,light_gray_shulker_box,%ID426%
Hellgraues Glas,Light Gray Stained Glass,light_gray_stained_glass,%ID427%
Hellgraue Glasscheibe,Light Gray Stained Glass Pane,light_gray_stained_glass_pane,%ID428%
Hellgraue Keramik,Light Gray Terracotta,light_gray_terracotta,%ID429%
Hellgraue Wolle,Light Gray Wool,light_gray_wool,%ID430%
Feinwägeplatte,Light Weighted Pressure Plate,light_weighted_pressure_plate,%ID431%
Wirrschild,Warped Sign,warped_sign,%ID843%
Flieder,Lilac,lilac,%ID432%
Maiglöckchen,Lily of the Valley,lily_of_the_valley,%ID433%
Seerosenblatt,Lily Pad,lily_pad,%ID434%
Hellgrüner Banner,Lime Banner,lime_banner,%ID435%
Hellgrünes Bett,Lime Bed,lime_bed,%ID436%
Hellgrüner Teppich,Lime Carpet,lime_carpet,%ID437%
Hellgrüner Beton,Lime Concrete,lime_concrete,%ID438%
Hellgrüner Trockenbeton,Lime Concrete Powder,lime_concrete_powder,%ID439%
Hellgrüner Farbstoff,Lime Dye,lime_dye,%ID440%
Hellgrüne glasierte Keramik,Lime Glazed Terracotta,lime_glazed_terracotta,%ID441%
Hellgrüne Shulkerkiste,Lime Shulker Box,lime_shulker_box,%ID442%
Hellgrünes Glas,Lime Stained Glass,lime_stained_glass,%ID443%
Hellgrüne Glasscheibe,Lime Stained Glass Pane,lime_stained_glass_pane,%ID444%
Hellgrüne Keramik,Lime Terracotta,lime_terracotta,%ID445%
Hellgrüne Wolle,Lime Wool,lime_wool,%ID446%
